艺术家 The Artist,8.4,剧情 / 喜剧 / 爱情,法国/比利时/美国,2012年12月28日,154万
地下室惊魂,3.4,剧情 / 悬疑 / 惊悚 / 恐怖,中国大陆,2012年12月28日,695万
秘密花园,5.1,喜剧 / 爱情 / 奇幻,中国大陆,2012年12月28日,262万
金箍棒传奇,5.5,喜剧 / 动画 / 冒险,中国大陆,2012年12月29日,1026万
大上海,6.7,剧情 / 动作,中国大陆/中国香港,2012年12月21日,1.4561亿
血滴子,4.7,动作 / 武侠 / 古装,中国大陆/中国香港,2012年12月20日,6985万
十二生肖,6.8,喜剧 / 动作 / 冒险,中国大陆/中国香港,2012年12月20日,8.6375亿
异度迷局,2.4,悬疑 / 惊悚,中国大陆,2012年12月14日,150万
目击者,5.8,剧情 / 动作 / 悬疑 / 惊悚,中国大陆,2012年11月20日,775万
我老公不靠谱 我老婆唔够秤II：我老公唔生性,6.5,喜剧 / 爱情,中国香港,2012年12月7日,2360万
人再囧途之泰囧,7.5,喜剧,中国大陆,2012年12月12日,12.4353亿
恋爱三万英尺,3.3,喜剧 / 爱情,中国大陆,2012年11月23日,290万
无间罪：僵尸重生,2.7,惊悚 / 恐怖,中国大陆,2012年11月23日,510万
2012,8.0,科幻 / 灾难,美国/加拿大,2012年11月20日,1.344亿
王的盛宴,5.7,历史 / 古装,中国大陆,2012年11月29日,7395万
一九四二,8.1,剧情 / 历史 / 战争 / 灾难,中国大陆,2012年11月29日,3.606亿
少年派的奇幻漂流 Life of Pi,9.1,剧情 / 奇幻 / 冒险,美国/中国台湾/英国/加拿大,2012年11月22日,5.602亿
三个未婚妈妈,4.1,剧情,中国大陆,2012年10月26日,390万
普罗旺斯惊魂记 Derrière les murs,3.9,剧情 / 悬疑 / 惊悚 / 恐怖,法国,2012年10月30日,1585万
诡爱,5.5,悬疑 / 惊悚,中国大陆,2012年10月30日,1210万
新妈妈再爱我一次,4.7,剧情 / 爱情 / 家庭,中国大陆,2012年11月9日,532万
冰雪11天,7.0,剧情 / 灾难,中国大陆,2012年11月1日,818万
一次别离 جدایی نادر از سیمین,8.8,剧情 / 家庭,伊朗/法国,2012年11月13日,300万
给野兽献花,4.8,剧情 / 爱情,中国大陆,2012年11月16日,610万
天生爱情狂 天生愛情狂,5.8,喜剧 / 爱情,中国香港,2012年11月9日,960万
幻影追凶 Faces in the Crowd,6.2,剧情 / 惊悚 / 犯罪,美国/法国/加拿大/英国,2012年11月13日,1245万
守护者联盟 Rise of the Guardians,8.2,动画 / 家庭 / 奇幻 / 冒险,美国,2012年11月16日,2780万
无敌破坏王 Wreck-It Ralph,8.7,喜剧 / 动画 / 奇幻 / 冒险,美国,2012年11月6日,6255万
寒战 寒戰,7.6,剧情 / 动作 / 犯罪,中国香港/中国大陆,201年11月8日,2.4865亿
叛谍追击 The Expatriate,6.1,动作 / 惊悚,美国/加拿大/比利时,2012年10月12日,1316万
安娜·卡列尼娜 Anna Karenina,7.2,剧情 / 爱情,英国,2012年10月16日,1130万
男人如衣服,5.0,喜剧 / 爱情,中国香港/中国大陆,2012年10月12日,2680万
雨中的树,5.7,剧情,中国大陆,2012年9月19日,1755万
太极2：英雄崛起,5.9,喜剧 / 动作 / 奇幻 / 武侠 / 古装,中国大陆,2012年10月25日,1.2135亿
暮光之城4：破晓(上) The Twilight Saga: Breaking Dawn - Part 1,6.9,剧情 / 爱情 / 惊悚 / 奇幻 / 冒险,美国,2012年10月23日,3295万
全面回忆 Total Recall,7.1,动作 / 科幻 / 惊悚 / 冒险,美国/加拿大,2012年10月20日,1.1599亿
谍影重重4 The Bourne Legacy,6.8,动作 / 悬疑 / 惊悚,美国/日本,2012年10月25日,2.1925亿
宝贝女儿好妈妈之吃记忆的大雪球,5.8,喜剧 / 动画 / 家庭,中国大陆,2012年9月30日,350万
飓风营救2 Taken 2,6.9,剧情 / 动作 / 犯罪,法国/美国,2012年10月7日,1.163亿
萨米大冒险 Le Voyage extraordinaire de Samy,6.9,动画 / 冒险,比利时/法国,2012年9月30日,2150万
危险关系,5.9,剧情 / 爱情,中国大陆/韩国/新加坡,2012年9月27日,5925万
铜雀台,5.2,剧情 / 古装,中国大陆,2012年9月26日,9835万
二次曝光,6.1,剧情 / 爱情 / 悬疑,中国大陆,2012年9月29日,1.0662亿
环形使者 Looper,6.9,动作 / 科幻 / 惊悚,美国/中国大陆,2012年9月28日,1.2785亿
太极1：从零开始,5.7,喜剧 / 动作 / 奇幻 / 武侠 / 古装,中国大陆,2012年9月27日,1.464亿
毕业那年,3.9,剧情 / 音乐,中国大陆,2012年9月21日,79万
非常营救,5.4,剧情 / 悬疑,中国大陆,2012年9月21日,65万
伤心童话,4.9,喜剧 / 爱情,中国大陆,2012年9月14日,1020万
