长津湖之水门桥,7.2,剧情 / 历史 / 战争,中国大陆/中国香港,2022年2月1日,40.6698亿
独行月球,6.7,喜剧 / 科幻,中国大陆,2022年7月29日,31.0254亿
这个杀手不太冷静,6.2,喜剧,中国大陆,2022年2月1日,26.2122亿
人生大事,7.3,剧情 / 家庭,中国大陆/中国香港,2022年6月24日,17.1312
奇迹·笨小孩,7.4,剧情,中国大陆,2022年2月1日,13.7392亿
侏罗纪世界3 Jurassic World: Dominion,6.0,动作 / 科幻 / 冒险,美国/马耳他,2022年6月10日,10.5891亿
熊出没·重返地球,6.5,儿童 / 喜剧 / 动画,中国大陆,2022年2月1日,9.6380亿
神探大战 神探大戰,6.7,动作 / 犯罪 / 悬疑,中国香港/中国大陆,2022年7月8日,7.092亿
狙击手,7.7,剧情 / 历史 / 战争,中国大陆,2022年2月1日,5.9872亿
新神榜：杨戬,7.0,动作 / 动画 / 奇幻 / 冒险,中国大陆,2022年8月19日,5.5233亿
四海,5.4,喜剧 / 动作 / 爱情,中国大陆,2022年2月1日,5.3964亿
哥，你好,4.9,剧情 / 喜剧 / 奇幻,中国大陆,2022年9月9日,4.7644亿
李茂扮太子,4.3,喜剧 / 古装,中国大陆,2022年1月1日,4.5991亿
坏蛋联盟 The Bad Guys,7.3,喜剧 / 动画 / 冒险,美国,2022年4月29日,3.3523亿
小黄人大眼萌：神偷奶爸前传 Minions: The Rise of Gru,7.1,喜剧 / 科幻 / 犯罪 / 动画 / 冒险,美国,2022年8月19日,2.3877亿
断·桥,6.1,剧情 / 犯罪,中国大陆,2022年8月13日,2.3233亿
外太空的莫扎特,4.3,喜剧 / 科幻 / 家庭,中国大陆,2022年7月15日,2.2397亿
神奇动物：邓布利多之谜 Fantastic Beasts: The Secrets of Dumbledore,5.9,奇幻 / 冒险,英国/美国,2022年4月8日,1.9419亿
平凡英雄,6.2,剧情,中国大陆,2022年9月30日,1.8447亿
十年一品温如言,2.8,剧情 / 爱情,中国大陆,2022年2月14日,1.6724亿
边缘行者,5.0,动作 / 犯罪 / 悬疑,中国大陆/中国香港,2022年4月15日,1.6445亿
新蝙蝠侠 The Batman,7.2,剧情 / 动作 / 犯罪 / 悬疑,美国,2022年3月18日,1.6324亿
我是真的讨厌异地恋,4.4,爱情,中国大陆,2022年4月29日,1.6106亿
喜羊羊与灰太狼之筐出未来,6.8,喜剧 / 动画 / 运动,中国大陆,2022年2月1日,1.5867亿
月球陨落 Moonfall,5.4,科幻 / 灾难,美国/中国大陆/英国,2022年3月25日,1.5309亿
神秘海域 Uncharted,6.3,动作 / 冒险,美国,2022年3月14日,1.4939亿
暗恋·橘生淮南,4.2,爱情,中国大陆,2022年6月2日,1.3455亿
精灵旅社4：变身大冒险 Hotel Transylvania 4: Transformania,6.3,喜剧 / 动画 / 奇幻 / 冒险,美国,2022年4月3日,1.2376亿
一周的朋友,4.6,剧情,中国大陆,2022年6月18日,1.2108亿
好想去你的世界爱你,4.5,喜剧 / 爱情 / 奇幻,中国大陆,2022年2月14日,1.0812亿
哆啦A梦：大雄的宇宙小战争2021 ドラえもん のび太の宇宙小戦争リトル・スター・ウォーズ2021,6.1,剧情 / 科幻 / 动画 / 冒险,日本,2022年5月28日,9828万
花束般的恋爱 花束みたいな恋をした,8.6,剧情 / 爱情,日本,2022年2月22日,8782万
汪汪队立大功大电影 Paw Patrol: The Movie,7.2,喜剧 / 动画 / 冒险,美国/加拿大,2022年1月14日,8016万
遇见你,5.1,爱情,中国大陆,2022年8月4日,7809万
妈妈！,7.5,剧情,中国大陆,2022年9月10日,7689万
