2012,8.0,科幻 / 灾难,美国/加拿大,2009年11月13日,4.66亿

变形金刚2 Transformers: Revenge of the Fallen,7.7,动作 / 科幻,美国,2009年6月24日,4.23亿,总票房4.28亿

建国大业,7.7,动作 / 剧情 / 历史,中国香港/中国大陆,2009年12月17日,2.93亿

三枪拍案惊奇,4.7,喜剧 / 悬疑 / 古装,中国大陆/中国香港,2009年12月10日,2.61亿

赤壁(下),6.4,动作 / 历史 / 战争 / 古装,中国大陆/中国香港/日本/中国台湾/韩国,2009年1月7日,2.59亿

风声,8.4,犯罪 / 剧情 / 惊悚 / 战争,中国大陆,2009年9月29日,2.16亿

南京！南京！,7.6,剧情 / 历史 / 战争,中国大陆/中国香港,2009年4月22日,1.72亿

冰川时代3 Ice Age: Dawn of the Dinosaurs,8.3,喜剧 / 动画 / 冒险,美国,2009年7月8日,1.53亿

哈利·波特与混血王子 Harry Potter and the Half-Blood Prince,8.3,奇幻 / 冒险,英国/美国,2009年7月15日,1.56亿

特种部队：眼镜蛇的崛起 G.I. Joe: The Rise of Cobra,7.3,动作 / 科幻,美国,2009年8月7日,1.31亿

博物馆奇妙夜2 Night at the Museum: Battle of the Smithsonian,7.1,喜剧 / 动作 / 奇幻 / 冒险,美国/加拿大,2009年5月26日,1.21亿

游龙戏凤 遊龍戲鳳,6.0,爱情,中国香港,2009年1月26日,1.02亿

终结者2018 Terminator Salvation,6.7,动作 / 冒险 / 科幻 / 惊悚,美国/德国/英国/意大利,2009年6月9日,1.12亿

疯狂的赛车,8.3,动作 / 冒险 / 喜剧,中国大陆,2009年1月20日,1.09亿

大内密探灵灵狗 大內密探靈靈狗,5.2,喜剧 / 动作 / 武侠 / 古装,中国香港/中国大陆/中国台湾,2009年7月30日,9940万

非常完美,5.9,喜剧 / 爱情,中国大陆/韩国,2009年8月14日,9400万

喜羊羊与灰太狼之牛气冲天,7.0,儿童 / 喜剧 / 动画,中国大陆,2009年1月16日,7599万

飞屋环游记 Up,9.1,剧情 / 喜剧 / 动画 / 冒险,美国,2009年8月4日,9076万

花木兰,6.2,冒险 / 剧情 / 爱情,中国大陆/中国香港,2009年11月27日,8322万

窃听风云 竊聽風雲,7.6,动作 / 剧情 / 惊悚,中国香港/中国大陆/新加坡,2009年7月24日,8660万

金刚狼 X-Men Origins: Wolverine,7.6,动作 / 科幻,美国/英国,2009年5月3日,7889万

麦兜响当当 麥兜響當當,7.6,动画 / 喜剧,中国大陆/中国香港,2009年7月24日,7060万

刺陵,3.9,动作 / 冒险,中国大陆/中国台湾/中国香港,2009年12月9日,6775万

七龙珠 Dragonball Evolution,3.7,动作 / 冒险 / 奇幻 / 科幻 / 惊悚,美国/中国香港/英国,2009年3月14日,6215万

风云Ⅱ 風雲Ⅱ,5.1,动作 / 冒险 / 奇幻,中国香港/中国大陆,2009年12月9日,5953万

星际迷航 Star Trek,8.1,动作 / 冒险 / 科幻,美国/德国,2009年5月15日,5855万

玩命快递3 Transporter 3,7.1,动作 / 犯罪,法国,2009年2月12日,5845万

行动目标希特勒 Valkyrie,7.2,剧情 / 历史 / 战争,美国/德国,2009年2月26日,5650万

贫民窟的百万富翁 Slumdog Millionaire,8.6,剧情 / 爱情,英国,2009年3月26日,5370万

机器侠,5.3,动作 / 喜剧 / 爱情 / 科幻,中国大陆,2009年8月18日,5154万

就是这样 This Is It,8.8,纪录片 / 音乐,美国,2009年10月28日,4826万

阿童木 Astro Boy,6.9,动画 / 动作 / 家庭 / 科幻,中国香港/美国/日本,2009年10月23日,4545万

气喘吁吁,4.0,喜剧 / 剧情,中国大陆,2009年8月28日,4070万

家有喜事2009,5.5,喜剧,中国香港,2009年1月22日,3540万,总票房4050万

